Date,Open,High,Low,Close,Adj Close,Volume
2017-05-11,16.270000,17.750000,16.260000,17.650000,17.650000,23563500
2017-05-12,18.580000,19.200001,18.080000,18.480000,18.480000,25706400
2017-05-15,19.670000,19.740000,17.530001,18.750000,18.750000,22504600
2017-05-16,18.930000,19.480000,18.650000,19.200001,19.200001,17759100
2017-05-17,20.500000,21.200001,19.610001,20.389999,20.389999,24525400
2017-05-18,19.969999,19.969999,18.139999,18.379999,18.379999,20398500
2017-05-19,18.879999,18.980000,18.180000,18.440001,18.440001,11826400
2017-05-22,18.860001,19.610001,18.760000,19.180000,19.180000,11776900
2017-05-23,19.400000,19.530001,17.110001,17.240000,17.240000,19903000
2017-05-24,16.830000,17.969999,15.680000,17.670000,17.670000,26018100
2017-05-25,17.129999,17.469999,16.410000,16.950001,16.950001,19332900
2017-05-26,17.940001,17.950001,17.240000,17.280001,17.280001,14666400
2017-05-30,16.639999,17.020000,16.540001,16.660000,16.660000,15851600
2017-05-31,16.670000,17.020000,15.860000,16.440001,16.440001,21881300
2017-06-01,15.990000,16.709999,15.910000,16.400000,16.400000,17578900
2017-06-02,16.940001,17.330000,16.600000,17.059999,17.059999,17846800
2017-06-05,17.420000,17.530001,16.430000,17.350000,17.350000,20338100
2017-06-06,18.170000,20.549999,18.129999,20.400000,20.400000,31159500
2017-06-07,19.790001,20.690001,19.320000,20.299999,20.299999,27977600
2017-06-08,19.700001,19.830000,18.430000,19.230000,19.230000,24226300
2017-06-09,18.120001,19.080000,18.110001,18.250000,18.250000,20502100
2017-06-12,17.900000,19.790001,17.850000,19.240000,19.240000,21294400
2017-06-13,19.020000,21.090000,19.000000,20.520000,20.520000,22308200
2017-06-14,21.690001,21.799999,16.760000,17.719999,17.719999,36453500
2017-06-15,17.110001,18.480000,17.010000,17.719999,17.719999,16277300
2017-06-16,17.809999,18.350000,17.360001,18.020000,18.020000,16534100
2017-06-19,17.490000,18.200001,17.209999,17.280001,17.280001,14746800
2017-06-20,17.340000,17.360001,16.719999,17.150000,17.150000,13292500
2017-06-21,17.049999,18.080000,17.020000,17.950001,17.950001,15827900
2017-06-22,18.549999,19.250000,18.379999,18.980000,18.980000,16820800
2017-06-23,19.740000,20.049999,19.299999,20.000000,20.000000,12197000
2017-06-26,18.850000,19.969999,18.820000,19.350000,19.350000,11078800
2017-06-27,19.730000,19.990000,18.850000,18.889999,18.889999,13554800
2017-06-28,19.219999,19.730000,18.660000,19.690001,19.690001,11672100
2017-06-29,19.100000,19.240000,18.000000,18.440001,18.440001,16233500
2017-06-30,18.219999,18.889999,18.209999,18.620001,18.620001,8855200
2017-07-03,17.670000,17.750000,16.750000,16.830000,16.830000,11808700
2017-07-05,16.840000,17.389999,16.280001,17.180000,17.180000,14543800
2017-07-06,16.959999,16.980000,16.170000,16.410000,16.410000,13669600
2017-07-07,16.000000,16.020000,14.820000,15.320000,15.320000,17753600
2017-07-10,14.950000,16.420000,14.840000,16.350000,16.350000,14206500
2017-07-11,16.160000,16.650000,15.450000,16.549999,16.549999,15229300
2017-07-12,17.100000,17.420000,16.700001,16.760000,16.760000,14074400
2017-07-13,16.750000,16.959999,15.910000,16.080000,16.080000,12905200
2017-07-14,16.870001,17.200001,16.639999,16.780001,16.780001,13540000
2017-07-17,17.219999,17.700001,17.200001,17.370001,17.370001,9874700
2017-07-18,17.879999,18.030001,17.480000,17.690001,17.690001,9700200
2017-07-19,17.549999,17.910000,17.120001,17.559999,17.559999,8330000
2017-07-20,17.340000,18.020000,17.240000,17.709999,17.709999,9273800
2017-07-21,18.160000,18.230000,17.740000,18.020000,18.020000,8380400
2017-07-24,18.100000,18.180000,16.760000,16.990000,16.990000,11696400
2017-07-25,16.950001,17.469999,16.629999,16.709999,16.709999,8626900
2017-07-26,16.700001,18.959999,16.620001,18.480000,18.480000,21283800
2017-07-27,18.510000,18.660000,17.330000,17.650000,17.650000,16301500
2017-07-28,17.809999,18.780001,17.799999,18.660000,18.660000,12316800
2017-07-31,18.490000,19.100000,18.280001,18.629999,18.629999,8635300
2017-08-01,18.340000,19.240000,18.200001,18.520000,18.520000,8929200
2017-08-02,18.270000,18.770000,17.860001,17.959999,17.959999,9505800
2017-08-03,17.990000,18.270000,17.650000,17.799999,17.799999,7741200
2017-08-04,17.299999,17.389999,16.240000,16.590000,16.590000,15476600
2017-08-07,16.320000,16.709999,16.180000,16.309999,16.309999,8002300
2017-08-08,16.559999,16.690001,15.710000,16.420000,16.420000,13715600
2017-08-09,17.190001,17.450001,16.709999,17.150000,17.150000,13302100
2017-08-10,17.830000,18.070000,17.590000,17.969999,17.969999,12203100
2017-08-11,17.870001,18.480000,17.530001,18.450001,18.450001,10285500
2017-08-14,17.809999,18.150000,17.450001,17.590000,17.590000,8396000
2017-08-15,16.670000,17.049999,16.520000,16.850000,16.850000,10170500
2017-08-16,16.760000,18.240000,16.650000,17.969999,17.969999,12608400
2017-08-17,18.250000,18.549999,17.680000,18.049999,18.049999,9228300
2017-08-18,18.670000,18.950001,17.709999,18.020000,18.020000,12636500
2017-08-21,18.230000,18.799999,18.230000,18.799999,18.799999,7830000
2017-08-22,18.510000,18.820000,18.190001,18.219999,18.219999,6112300
2017-08-23,18.540001,18.680000,18.080000,18.620001,18.620001,6393100
2017-08-24,18.400000,19.030001,18.290001,18.750000,18.750000,6915900
2017-08-25,19.000000,19.270000,18.150000,18.930000,18.930000,8768300
2017-08-28,19.299999,21.120001,19.299999,21.080000,21.080000,15305400
2017-08-29,22.389999,22.740000,20.540001,21.459999,21.459999,13292100
2017-08-30,21.350000,21.400000,20.309999,20.549999,20.549999,8285800
2017-08-31,20.639999,22.639999,20.639999,22.549999,22.549999,13442400
2017-09-01,23.120001,23.190001,21.820000,22.930000,22.930000,13184400
2017-09-05,23.469999,25.080000,23.450001,25.040001,25.040001,13011900
2017-09-06,24.610001,25.389999,23.309999,23.980000,23.980000,12929100
2017-09-07,25.000000,25.760000,24.510000,25.530001,25.530001,13703100
2017-09-08,25.500000,25.559999,23.610001,24.170000,24.170000,14987900
2017-09-11,22.790001,23.920000,21.930000,22.139999,22.139999,13267200
2017-09-12,22.070000,23.190001,21.799999,22.889999,22.889999,10402900
2017-09-13,22.680000,22.680000,21.070000,21.420000,21.420000,11858900
